О	пред					
СЪСТАВЛЕНIИ 	сущ	jo	мест	ед	ср	
ПUСТЫНИ;& 	сущ	ja	род	ед	ж	
И 	союз					
ЯКW(Ж) 	союз					
МНОSИ 	прил	o	им	мн	м	*
БRХU 	гл	изъяв	имп	3	мн	
К 	пред					
НЕМD 	мест	м	дат	ед	м	
ПРИХОДR&ЩЕ. 	прич	jo/en	наст	им	мн	м
И 	союз					
БЕЗМОЛВIЕ 	сущ	jo	вин	ед	ср	
ПРЕС+ЦАЮЩЕ, 	прич	jo/en	наст	им	мн	м
Т+&МЖЕ 	союз					
СТGЖИВ 	прич	jo	прош	им	ед	м
СИ 	мест	личн	возвр	дат		
ПОМЫШЛRАШЕ 	гл	изъяв	имп	3	ед	
ЕДИНЪ& 	числ	тв	им	ед	м	
БЕЗМОЛСТВОВАТИ 	инф					
ЕЖЕ 	мест	м	вин	ед	ср	
И 	союз					
СЪТВОРИ. 	гл	изъяв	аор гл	3	ед	
ИЗ(Ъ)&ШЕ(Д) 	прич	jo	прош	им	ед	м
ЖЕ 	част					
ТАИ 	нар					
ИЗО 	пред					
ОБИТЕЛИ 	сущ	i	род	ед	ж	
НИКОМUЖЕ& 	мест	тв	дат	ед	м	
В+ДUЩЕ 	прич	jo/en	наст	дат/им	ед/мн	м
РАЗВ+ 	пред					
ЕЖЕ 	союз					
СЪВ+ДЫИ 	прич	м	наст	им	ед	м
ТАИНАА 	прил	тв	вин	мн	ср	
СРЪ&(Д)ЦА 	сущ	jo	род	ед	ср	
И 	союз					
ПОМЫШЛЕНIА 	сущ	jo	вин	мн	ср	
Е(г). 	мест	м	род	ед	м	
И 	союз					
UСТРЕМИСR 	гл/в	изъяв	аор гл	3	ед	
В 	пред					
ПG&СТЫНЮ 	сущ	ja	вин	ед	ж	
НА 	пред					
ПОЛDДЕННUЮ 	прил	тв	вин	ед	ж	
СТРАНD, 	сущ	a	вин	ед	ж	
W(Т) 	пред					
БО(л)ШIА 	прил/ср	м/тв	род	ед	ж	
Z 33 						
ЛАВРЫ. 	сущ	a	род	ед	ж	
ЯКО 	союз					
ТА 	мест	тв	им	ед	ж	
ПDСТЫНR 	сущ	ja	им	ед	ж	
ИМRШЕ 	гл	изъяв	имп	3	ед	
БЛАТА& 	сущ	o	вин	мн	ср	
И 	союз					
ДЕБРИ 	сущ	i	вин	мн	ж	
НЕПРОХОДНIИ. 	прил	м	вин/им	мн	м	
ШЕ(Д) 	прич	jo	прош	им	ед	м
ЖЕ 	част					
ЯКО 	союз					
ПОПРИ&ЩЬ,	сущ	jo	род	мн	ср	
Д#. 	4					
МНЮ 	гл	изъяв	н/б	1	ед	4
ЖЕ 	част					
ЯКО 	союз					
БГG# 	сущ	o	дат	ед	м	
ПА(ч) 	нар					
НАСТАВЛRЮ&ЩU 	прич	jo	наст	дат	ед	м
ЕГW. 	мест	м	вин/род	ед	м	
ХОЖ(Д)АШЕ 	гл	изъяв	имп	3	ед	
ЖЕ 	част					
ПО 	пред					
МНОГИ(М) 	прил	тв	дат	мн	ср	
М+СТW(М)& 	сущ	o	дат	мн	ср	
В 	пред					
ТОИ 	мест	тв	мест	ед	ж	
ПDСТЫН+. 	сущ	ja/a	мест	ед	ж	
WБР+ТЕ 	гл	изъяв	аор пр	3	ед	
ЖЕ 	част					
