ЕП(с)КПЪ 	сущ	o	им	ед	м	
ЖЕ 	част					
*ГРИ&ГОРIЕ 	сущ	jo	им	ед	м	
РЕ(ч) 	гл	изъяв	аор пр	3	ед	
ЕМU 	мест	м	дат	ед	м	
ДОБР+ 	нар					
ПРИДЕ 	гл	изъяв	аор пр	3	ед	
ДХОВНЫ(И)# 	прил	тв	зв/им	ед	м	
СНU#. 	сущ	u	зв	ед	м	
И& 	союз					
ПОUЧИ 	гл	изъяв	аор гл	3	ед	
ДХОВН+# 	нар					
И 	союз					
ДШЕПОЛЕЗНА# 	прил	o	вин	мн	ср	
СЛОВЕСА 	сущ	es	вин	мн	ср	
БЕ&С+ДОВА, 	гл	изъяв	аор гл	3	ед	
РЕ(ч) 	гл	изъяв	аор пр	3	ед	
ЕМD, 	мест	м	дат	ед	м	
S+ЛО 	нар					
ПОХВАЛИХОМЪ. 	гл	изъяв	аор гл	1	мн	
И 	союз					
СА&МЫ(И) 	мест	тв	им	ед	м	
БЪОЦЪ# 	сущ	jo	им	ед	м	
ПРР(о)КЪ 	сущ	o	им	ед	м	
*ДВДЪ# 	сущ	o	им	ед	м	
ИСПЫТАВЪ 	прич	jo	прош	им	ед	м
РАЗD&МОМЪ. 	сущ	o	тв	ед	м	
НИЧТОЖЕ 	мест	м	вин	ед	ср	
ИНО 	мест	тв	вин	ед	ср	
ВЪЗМОЖЕ 	гл	изъяв	аор пр	3	ед	
ПОХВА&ЛИТИ 	инф					
РАЗВ+ 	нар					
СЕ, 	мест	м	вин	ед	ср	
ЕЖЕ 	союз					
ЖИТИ 	инф					
БРАТIИ 	сущ	ja	дат	ед	ж	
ВКG&П+. 	нар					
И 	союз					
ГЬ# 	сущ	i	им	ед	м	
БЪ# 	сущ	o	им	ед	м	
ГЛЕТЪ# 	гл	изъяв	н/б	3	ед	3
ГДЕ 	союз					
СG(Т) 	гл	изъяв	н/б	3	мн	5
ДВА 	числ	тв	им	дв	м	
ИЛИ 	союз					
ТРИЕ 	числ	i	им	мн	м	
О 	пред					
И&МЕНИ 	сущ	men	мест	ед	ср	
МОЕ(М) 	мест	м	мест	ед	ср	
ТG 	нар					
ПОСР+(Д) 	нар					
И(Х). 	мест	м	род	мн	м	
ПОТОМG 	союз					
(Ж) 	част					
И 	союз					
АЗЪ 	мест	личн	1	им	ед	
СЪ&В+ТЪ 	сущ	o	вин	ед	м	
