ДА	союз					
ТАМО	нар					
НА	пред					
МО(л)БD	сущ	a	вин	ед	ж	
ПРИХОДR(т)	гл	изъяв	н/б	3	мн	4
ИЗЪ	пред					
ФМИКЛЕ&ВЕНИ.	сущ	ja/a	род	ед	ж	-е
И	союз					
UСТРОИ	гл	изъяв	аор гл	3	ед	
ТАМО	нар					
ИНОКЫНR(М)	сущ	ja	дат	мн	ж	
ПРЕБЫ&ВАНIЕ.	сущ	jo	вин	ед	ср	
ИЖЕ	союз					
И	союз					
НН+#	нар					
ТАМО	нар					
ПОСТНИЦИ	сущ	o	им	мн	м	*
ПРЕ&БЫВАЮ(т).	гл	изъяв	н/б	3	мн	3
И	союз					
UСТАВИ	гл	изъяв	аор гл	3	ед	
ПРП(Д)БНЫ	прил	тв	им	ед	м	
МDЖА	сущ	jo	вин/род	ед	м	
ГОВ+&ИНА	прил	o	вин/род	ед	м	
С+ДИНАМИ	сущ	a	тв	мн	ж	
Ч(с)ТНА,	прил	o	вин/род	ед	м	
ПРОЦВЕТША	прич	jo	прош	вин/род	ед	м
ДХО&ВНЫМИ#	прил	тв	тв	мн	ср	
СЛОВЕСЫ.	сущ	es	тв	мн	ср	
НА	пред					
БОЛШЕЕ	прил/ср	м	вин	ед	ср	
ВЪЗВОДR	прич	jo	наст	им	ед	м
РВЕZ 44 НIЕ.	сущ	jo	вин	ед	ср	
И	союз					
DРЕ(ч)	гл	изъяв	аор пр	3	ед	
ИМЪ	мест	м	дат	мн	м	
ПОТРЕБНАА	прил	тв	вин	мн	ср	
W(Т)	пред					
ФМИКЛЕВНЕИ.&	сущ	ja/i	род	мн	ж	
В	пред					
ТА	мест	тв	вин	мн	ср	
ЖЕ	част					
Л+ТА	сущ	o	вин	мн	ср	
ГЛАДНА	прил	a	им	ед	ж	
БЫ(с)	гл	изъяв	аор гл	3	ед	
СТРАНА	сущ	a	им	ед	ж	
ТА.	мест	тв	им	ед	ж	
ПРИ&ХОДRЩЕ	прич	jo/en	наст	им	мн	м
(Ж)	част					
В	пред					
МОНАСТЫРЬ,	сущ	jo	вин	ед	м	
КЪ	пред					
ПРП(Д)БНОМU&	прил	тв	дат	ед	м	
ВЗИМА(С)ТА	гл	изъяв	аор гл	3	дв	
W(Т)	пред					
НЕГО	мест	м	род	ед	м	
ЯКО	союз					
W(Т)	пред					
НЕИСЧЕРПАЕ&МА	прич	o	наст	род	ед	м
ИСТОЧНИКА.	сущ	o	род	ед	м	
ТВОРRШЕ	гл	изъяв	имп	3	ед	
БО	союз					
МЛ(с)ТЫНЮ&	сущ	ja	вин	ед	ж	
НЕОСКDДНG	прил	a	вин	ед	ж	
ПРОСRЩИМЪ.	прич	м	наст	дат	мн	м
WНИ	мест	тв	им	мн	м	
ЖЕ	част					
БО(л)&МА	нар					
НАЧАША	гл	изъяв	аор гл	3	мн	
ПРИХОДИТИ.	инф					
ПРП(Д)БНЫ	прил	тв	им	ед	м	
ЖЕ&	част					
НИКАКОЖЕ	нар					
СТDЖИ	гл	изъяв	аор гл	3	ед	
НО	союз					
БОЛМА	нар					
ДА&ЯШЕ.	гл	изъяв	имп	3	ед	
Н+КОГДА	нар					
ЖЕ	част					
ПРIИДЕ	гл	изъяв	аор пр	3	ед	
КЪ	пред					
ПРП(Д)БНОМD&	прил	тв	дат	ед	м	
ИКОНОМЪ.	сущ	o	им	ед	м	
ГЛА#	гл	изъяв	аор гл	3	ед	
ЕМU	мест	м	дат	ед	м	
МАЛО	нар					
Ч(с)ТНЫ	прил	тв	зв/им	ед	м	
W(ч)	сущ	jo/o	зв	ед	м	
ПО&ТРЕБНАГО	прил	тв	род	ед	м	
НА	пред					
РАЗ(Д)АНIЕ	сущ	jo	вин	ед	ср	
ПРОСRЩИ(М).	прич	м	наст	дат	мн	м
ПОНО&СR	прич	jo	наст	им	ед	м
ЖЕ	част					
ПРП(Д)БНЫИ	прил	тв	им	ед	м	
ИКОНОМD	сущ	o	дат	ед	м	
РЕЧЕ,	гл	изъяв	аор пр	3	ед	
ЧТО	нар					
ГЛЕ&ШИ#	гл	изъяв	н/б	2	ед	3
ИКОНОМЕ	сущ	o	зв	ед	м	
ЯКО	союз					
МАЛО	нар					
НА	пред					
РАЗ(Д)АНIЕ	сущ	jo	вин	ед	ср	
ПОТРЕ&БНАГО.	прил	тв	род	ед	м	
ОБА(ч)	част					
В+РЕНЪ	прил	o	им	ед	м	-е
Е(с)	гл	изъяв	н/б	3	ед	5
ГЛRИ#.	прич	м	наст	им	ед	м
НЕ	част					
ПЕЦ+&ТЕСR	гл/в	повел	2	мн	1	
W	пред					
UТРЕШН+МЪ	прил	тв	мест	ед	ср	
ЧТО	мест	м	вин	ед	ср	
ЯМЫ	гл	изъяв	н/б	1	мн	5
ИЛИ&	союз					
ЧТО	мест	м	вин	ед	ср	
ПIЕМЪ,	гл	изъяв	н/б	1	мн	3
ИЛИ	союз					
ЧИМЪ	мест	м	тв	ед	ср	
ОДЕЖ(Д)ЕМСR.&	гл/в	изъяв	н/б	1	мн	3
В+СТЬ	гл	изъяв	н/б	3	ед	5
БО	союз					
ОЦЪ#	сущ	jo	им	ед	м	
ВАШЬ	мест	м	им	ед	м	
НБ(с)НЫИ,	прил	тв	им	ед	м	
ЯКО	союз					
ТРЕБD&ЕТЕ	гл	изъяв	н/б	2	мн	3
ВС+(Х)	мест	р/скл	род	мн	ср	
СИ(Х).	мест	м	род	мн	ср	
WБА(ч)	част					
ЖЕ	част					
ИЩЕТЕ	гл	повел	2	мн	3	
ПРЕЖ(Д)Е&	нар					
ЦР(с)ТВА	сущ	o	род	ед	ср	
НБ(с)НАГО,	прил	тв	род	ед	ср	
И	союз					
СIА	мест	м	им	мн	ср	
ВСR	мест	р/скл	им	мн	ср	
ПРИЛОЖА&ТСR	гл/в	изъяв	н/б	3	мн	4
ВА(М).	мест	личн	2	дат	мн	
WБАЧЕ	част					
ГЛЕТЬ#	гл	изъяв	н/б	3	ед	3
БDДИТЕ	гл	повел	2	мн	5	
МЛОZ -44 СТИВИ#	прил	o	им	мн	м	
И	союз					
ЩЕДРИ,	прил	o	им	мн	м	
ЯКW(Ж)	союз					
ОЦЪ#	сущ	jo	им	ед	м	
ВАШЪ	мест	м	им	ед	м	
НБ(с)НЫ&И	прил	тв	им	ед	м	
ЩЕДРЪ	прил	o	им	ед	м	
ЕСТЬ.	гл	изъяв	н/б	3	ед	5
НЕПОМИЛОВАНIЕ	сущ	jo	им	ед	ср	
БО	союз					
НИЩИ(Х)&	прил	м	род	мн	м	
ГМЪ#	сущ	i/o	тв	ед	м	
НЕНАВИДИМИ	прич	o	наст	им	мн	м
БЫША.	гл	изъяв	аор гл	3	мн	
НИГДЕ	нар					
БО	союз					
НИ	част					
О&	пред					
КОЕ(М)	мест	м	мест	ед	ср	
СЪГР+ШЕНIИ,	сущ	jo	мест	ед	ср	
СЛЫШАХОМЪ	гл	изъяв	имп	1	мн	
КРОТКА&ГО	прил	тв	вин/род	ед	м	
СU(Д)И(Ю)	сущ	ja	вин	ед	м	
БА#.	сущ	o	вин/род	ед	м	
ЯКW(Ж)	союз					
О	пред					
НЕМЛ(с)РДIИ	сущ	jo	мест	ед	ср	
ГЛАВША#&	прич	jo	прош	вин/род	ед	м
СЪ	пред					
ЯРОСТIЮ	сущ	i	тв	ед	ж	
И	союз					
ГН+ВОМЪ.	сущ	o	тв	ед	м	
W(Т)ИД+ТЕ	гл	повел	2	мн	1	
W(Т)	пред					
ЕГО	мест	м	род	ед	м	
ПРОКЛRТI	прич	o	прош	им	мн	м
ВЪ	пред					
ОГНЬ	сущ	i	вин	ед	м	
В+ЧНЫИ,	прил	тв	вин	ед	м	
UГОТО&ВАННЫИ	прич	тв	прош	вин	ед	м
ДIАВОЛU	сущ	o	дат	ед	м	
И	союз					
АГГЛОМЪ#&	сущ	o	дат	мн	м	
ЕГО.	мест	м	род	ед	м	
W(Т)	пред					
СЕГО	мест	м	род	ед	ср	
БРА(Т)Е	сущ	ja	зв	ед	ж	+и
В+РUЕ(М)	гл	изъяв	н/б	1	мн	3
РЕЧЕННЫ(М).	прич	тв	прош	дат	мн	ср
ЯКО&	союз					
СU(Д)	сущ	o	им	ед	м	
БЕЗЪ	пред					
МЛ(с)ТИ	сущ	i	род	ед	ж	
Е(с)	гл	изъяв	н/б	3	ед	5
НЕ	част					
СЪТВОРШИ(М)	прич	м	прош	дат	мн	м
МЛ(с)ТИ.&	сущ	i	род	ед	ж	
ЕЛИКО	нар					
МОЩНО	нар					
НЕМЛ(с)РДIА	сущ	jo	род	ед	ср	
И	союз					
ЖЕСТОКЫ(Х).&	прил	тв	род	мн	ср	
И	союз					
W	пред					
БЛГЫ(Х)#	прил	тв	мест	мн	ср	
Л+НRЩЕСR	прич/в	jo/en	наст	род/им	мн	м
W(Т)Б+ГНЕМЪ.	гл	повел	1	мн	2	
НИЧТО(Ж)&	мест	м	им	ед	ср	
БО	союз					
СИЦЕ	нар					
НАМЪ	мест	личн	1	дат	мн	
ЯКОЖЕ	союз					
МЛ(c)ТЫНR	сущ	ja	им	ед	ж	
ПОМО&ГАЮЩИ	прич	ja	наст	им	ед	ж
НАМЪ	мест	личн	1	дат	мн	
ЕСТЬ.	гл	изъяв	н/б	3	ед	5
МИЛUАИ	прич	м	наст	им	ед	м
НИЩА	прил	jo	вин/род	ед	м	
ВЗА&И(М)	нар					
ДАСТЬ	гл	изъяв	н/б	3	ед	5
БU#.	сущ	o	дат	ед	м	
СИЦЕ	нар					
СМЫШЛRШЕ	гл	изъяв	имп	3	ед	
И	союз					
UЧА&ШЕ.	гл	изъяв	имп	3	ед	
ИКОНОМ	сущ	o	им	ед	м	
ЖЕ	част					
СЛЫШАВЪ	прич	jo	прош	им	ед	м
ПРИПАДЕ	гл	изъяв	аор пр	3	ед	
НА&	пред					
НОГU	сущ	a	вин	ед	ж	
ПРП(Д)БНАГО	прил	тв	род	ед	м	
ПРОСR	прич	jo	наст	им	ед	м
БЛ(с)ВЕНIА.	сущ	jo	род	ед	ср	
ПРП(Д)Б&НЫИ	прил	тв	им	ед	м	
(Ж)	част					
БЛ(с)ВИ	гл	изъяв	аор гл	3	ед	
ЕГО.	мест	м	вин/род	ед	м	
UЧА	прич	jo	наст	им	ед	м
ГЛR#	прич	jo	наст	им	ед	м
НИКОЛИЖЕ	нар					
W(Т)ЧА&ИСR,	гл/в	повел	2	ед	3	
НО	союз					
ВСЮ	мест	р/скл	вин	ед	ж	
ПЕЧАЛЬ	сущ	i	вин	ед	ж	
ВЪЗВЕРSИ	гл	повел	2	ед	2	
НА	пред					
БА#,&	сущ	o	вин/род	ед	м	
ЯКW	союз					
ТО(И)	мест	тв	им	ед	м	
ПЕЧЕТСR	гл/в	изъяв	н/б	3	ед	1
О	пред					
