BCRKЪ 	мест	тв	вин	ед	м	
Z -71						
ДXBHЫ(И)#	прил	тв	вин	ед	м	
CЪB+TЪ	сущ	о	вин	ед	м	
*ЛDKIAHЪ&	сущ	о	им	ед	м	
B+ДЫИ	прич	м	наст	им	ед	м
.						
И	союз					
BCEГДA	нар					
HA	пред					
ДOБP(о)&	сущ	о	вин	ед	ср	
CЪB+TDR	прич	jo	наст	им	ед	м
.						
CEГO	мест	м	вин/род	ед	м	
*ФEWДOPA&	сущ	о	вин/род	ед	м	
БPATA	сущ	о	вин/род	ед	м	
EГO	мест	м	род	ед	м	
CЪ	пред					
Д+TMИ	сущ	i	тв	pt	м	
ПPECE&ЛИ	гл	изъяв	аор гл	3	ед	
HA	пред					
*MOCKBD	сущ	а	вин	ед	ж	
.						
EГOЖE	мест	м	род	ед	м	
CHЪ#&	сущ	u	им	ед	м	
ЧETBEPTЫИ	числ/п	тв	им	ед	м	
W(Т)ЦЬ#	сущ	jo	им	ед	м	
HAШЬ	мест	м	им	ед	м	
.&						
EЩE	нар					
CЫ	прич	jo	наст	им	ед	м
ВЪ	пред					
ЮHOCTИ	сущ	i	мест	ед	ж	
.						
B	пред					
HA&ПИCAHИ	сущ	jo	мест	ед	ср	+и
БЫCTЬ	гл	изъяв	аор гл	3	ед	
EДИHЪ	числ	тв	им	ед	м	
W(Т)	пред					
BC+(X)&	мест	р/скл	род	мн	м	
ДBOPA	сущ	о	род	ед	м	
CER	мест	м	род	ед	ж	
БЛГOB+PHЫR#	прил	тв	род	ед	ж	
BE&ЛИKIA	прил	тв	род	ед	ж	
KHRГИHИ	сущ	ja/а	род	ед	ж	
*MAPIИ	сущ	ja/а	род	ед	ж	
.&						
W	пред					
ПOCTРИЖEHIE	сущ	jo	мест	ед	ср	
CTГO#	прил	тв	род	ед	м	
.&						
*ЛUKIAH	сущ	о	им	ед	м	
DБO	част					
CTPЫИ	сущ	jo	им	ед	м	
EMD	мест	м	дат	ед	м	
,&						
WCTABЛЬ	прич	jo	прош	им	ед	м
MИPЪ	сущ	о	вин	ед	м	
.						
И	союз					
ИДE	гл	изъяв	аор пр	3	ед	
B	пред					
*KИ&PИЛOBЪ	прил	о	вин	ед	м	
MOHACTЫPЬ	сущ	jo	вин	ед	м	
И	союз					
БЫ(с)&	гл	изъяв	аор гл	3	ед	
MHИ(X)	сущ	о	им	ед	м	
.						
C	пред					
HИMЖE	мест	м	тв	ед	м	
И	союз					
CE(И)	мест	м	им	ед	м	
W(Т)ЦЬ#	сущ	jo	им	ед	м	
HA&ШЬ	мест	м	им	ед	м	
*KOPHИЛIE	сущ	jo	им	ед	м	
БЫCTЬ	гл	изъяв	аор гл	3	ед	
MHИXЪ	сущ	о	им	ед	м	
Z 72 						
BKUП+	нар					
BЪ	пред					
EДIHO(M)	числ	тв	мест	ед	м	
MOHACTЫ&PИ	сущ	jo	мест	ед	м	
.						
EЩE	нар					
CЫИ	прич	м	наст	им	ед	м
TOГДA	нар					
ДBOЮ&ДECRTИ	числ	en/i	род	ед	м	
Л+TЪ	сущ	о	род	мн	ср	
.						
И	союз					
ГOPR&ЩИMЪ	прич	м	наст	тв	ед	ср
ЖEЛAHIEMЪ	сущ	jo	тв	ед	ср	
БЖ(с)TBE&HЫR	прил	тв	род	ед	ж	
ЛЮБBE	сущ	uu	род	ед	ж	
ПP(с)HO	нар					
PACПAЛAE(M)	прич	о	наст	им	ед	м
,&						
CBOEMU	мест	м	дат	ед	м	
HACTABHИKD	сущ	о	дат	ед	м	
*ГEHA&ДИЮ	сущ	jo	дат	ед	м	
ИMEHEMЪ	сущ	men	тв	ед	ср	
БEЗ	пред					
Л+HOCTИ&	сущ	i	род	ед	ж	
ПOBИHDЯCR	прич/в	jo	наст	им	ед	м
,						
И	союз					
BCRKD	мест	тв	вин	ед	ж	
CЛD&ЖБU	сущ	а	вин	ед	ж	
PAБWTHDЮ	прил	тв	вин	ед	ж	
ПPOШE(Д)	прич	jo	прош	им	ед	м
.&						
И	союз					
ПO	пред					
CE(Д)MИ(X)	числ/п	м	мест	мн	ср	
Л+TEXЪ	сущ	о	мест	мн	ср	
ИЗЫДE&	гл	изъяв	аор пр	3	ед	
ИЗ	пред					
MOHACTЫPR	сущ	jo	род	ед	м	
.						
И	союз					
ШEДЪ&	прич	jo	прош	им	ед	м
BЪ	пред					
CBOE	мест	м	вин	ед	ср	
W(Т)ЧECTBO#	сущ	о	вин	ед	ср	
B	пред					
*POCTO&BЪ	сущ	о	вин	ед	м	
.						
И	союз					
UB+ЩA	гл	изъяв	аор гл	3	ед	
CBOEГO	мест	м	вин/род	ед	м	
ПO&	пред					
ПЛOTИ	сущ	i	дат	ед	ж	
БPATA	сущ	о	вин/род	ед	м	
ИMEHEMЪ&	сущ	men	тв	ед	ср	
*AKИHФИA	сущ	jo	вин/род	ед	м	
,						
И	союз					
ПPИBEДE	гл	изъяв	аор пр	3	ед	
И	мест	м	вин	ед	м	
BЪ&	пред					
MOHACTЫPЬ	сущ	jo	вин	ед	м	
.						
И	союз					
