НОСR	прич	jo	наст	им	ед	м
В	пред					
СОСDД+	сущ	o	мест	ед	м	
WСЩЕННDЮ#&	прич	тв	прош	вин	ед	ж
ВОДD,	сущ	а	вин	ед	ж	
И	союз					
КР(с)ТЪ	сущ	o	вин	ед	м	
В	пред					
РDЦ+	сущ	a	мест	ед	ж	*
СВОЕИ	мест	м	мест	ед	ж	
ДЕРЖА,&	прич	jo	наст	им	ед	м
И	союз					
БЛГОСЛОВЕНIЕ#	сущ	jo	вин	ед	ср	
ПОДАВЪ	прич	jo	прош	им	ед	м
ЕИ,	мест	м	дат	ед	ж	
И	союз					
КР(с)ТО&МЪ	сущ	o	тв	ед	м	
ОГРАДИВЪ	прич	jo	прош	им	ед	м
Ю,	мест	м	вин	ед	ж	
И	союз					
ВОДОЮ	сущ	a	тв	ед	ж	
ПОКРОПИ&ВЪ.	прич	jo	прош	им	ед	м
И	союз					
РЕЧЕ	гл	изъяв	аор пр	3	ед	
ЕИ:	мест	м	дат	ед	ж	
ВОСТАНИ	гл	повел	2	ед	2	
ЧАДО	сущ	o	зв/им	ед	ср	
И	союз					
И&ДИ	гл	повел	2	ед	1	
В	пред					
МОНАСТIРЪ	сущ	jo	вин	ед	м	
МОИ,	мест	м	вин	ед	м	
И	союз					
U	пред					
ЦРКВИ#	сущ	uu/i	род	ед	ж	
ВОZ 85 СКР(с)НIR	сущ	jo	род	ед	ср	
Г(с)ДА	сущ	i/o	род	ед	м	
НАШЕГW	мест	м	род	ед	м	
*IИСА#	сущ	o	род	ед	м	
*ХР(с)ТА	сущ	o	род	ед	м	
ПО&МОЛИСR	гл/в	повел	2	ед	4	
БГD#,	сущ	o	дат	ед	м	
И	союз					
ПРЧ(с)Т+И	прил	тв	дат	ед	ж	
ЕГW	мест	м	род	ед	м	
БГОМТРИ#,&	сущ	er	дат	ед	ж	
И	союз					
ПРОЩЕНIЕ	сущ	jo	вин	ед	ср	
ПОЛDЧИШИ	гл	изъяв	н/б	2	ед	4
U	пред					
ГРОБА	сущ	o	род	ед	м	
МОЕГО.&	мест	м	род	ед	м	
И	союз					
СIR	мест	м	вин	мн	ср	
ИЗГЛАВЪ#	прич	jo	прош	им	ед	м
АБIЕ	нар					
НЕВИДИМЬ	прич	o	наст	им	ед	м
БЫ(с)ТЬ.&	гл	изъяв	аор гл	3	ед	
ОНА	мест	тв	им	ед	ж	
ЖЕ	част					
СКОРW	нар					
ВОСТА	гл	изъяв	аор гл	3	ед	
W(Т)	пред					
СНА	сущ	o	род	ед	м	+о
СВОЕГО,&	мест	м	род	ед	м	
И	союз					
В	пред					
ВЕЛИЦ+	прил	o	мест	ед	м	*
СТРАС+	сущ	o	мест	ед	м	*
И	союз					
ТРЕПЕТ+	сущ	o	мест	ед	м	
БЫВШИ&	прич	ja	прош	им	ед	ж
W	пред					
ЧЮДНОМЪ	прил	тв	мест	ед	ср	
ВИД+НIИ,	сущ	jo	мест	ед	ср	
И	союз					
В	пред					
ТОИ	мест	тв	вин	ед	м	
ЧАСЪ&	сущ	o	вин	ед	м	
НЕ	част					
ЧЮRШЕ	гл	изъяв	имп	3	ед	
БОЛ+ЗНИ	сущ	i	род	ед	ж	
СВОЕR.	мест	м	род	ед	ж	
И	союз					
ПОВ+&ДА	гл	изъяв	аор гл	3	ед	
МDЖD	сущ	jo	дат	ед	м	
СВОЕМD	мест	м	дат	ед	м	
*НIКИТ+;	сущ	a	дат	ед	м	
КАКW&	союз					
ЯВИСR	гл/в	изъяв	аор гл	3	ед	
ЕИ	мест	м	дат	ед	ж	
ПРП(Д)БНЫИ	прил	тв	им	ед	м	
*КVРIЛЛЪ,	сущ	o	им	ед	м	
И	союз					
ПОВЕ&Л+	гл	изъяв	аор гл	3	ед	
ЕИ	мест	м	дат	ед	ж	
ИТИ	инф					
ВО	пред					
WБИТЕЛЬ	сущ	i	вин	ед	ж	
СВОЮ.&	мест	м	вин	ед	ж	
И	союз					
КАКW	союз					
ОБ+ЩА	гл	изъяв	аор гл	3	ед	
ЕИ	мест	м	дат	ед	ж	
ДАТИ	инф					
ИСЦ+ЛЕ&НIЕ	сущ	jo	вин	ед	ср	
U	пред					
ГРОБА	сущ	o	род	ед	м	
СВОЕГW.	мест	м	род	ед	м	
МDЖЪ	сущ	jo	им	ед	м	
ЖЕ&	част					
ЕR	мест	м	род	ед	ж	
И	союз					
ПРЕЖДЕ	нар					
ДЕРЖА	гл	изъяв	аор гл	3	ед	
В+РD	сущ	a	вин	ед	ж	
ВЕЛIЮ&	прил	ja	вин	ед	ж	
КО	пред					
БЛЖЕННОМD#	прил	тв	дат	ед	м	
*КVРIЛЛD,	сущ	o	дат	ед	м	
СЛЫШАВЪ&	прич	jo	прош	им	ед	м
W(Т)	пред					
ЖЕНЫ	сущ	a	род	ед	ж	
СВОЕR	мест	м	род	ед	ж	
ТАКОВОЕ	мест	тв	вин	ед	ср	
ПРЕСЛАВНОЕ&	прил	тв	вин	ед	ср	
ЧЮДW,	сущ	es	вин	ед	ср	
Z -85						
И	союз					
ВОЗРАДОВАСR	гл/в	изъяв	аор гл	3	ед	
РАДОСТIЮ	сущ	i	тв	ед	ж	
ВЕЛI(Е)Ю	прил	ja	тв	ед	ж	
S+&ЛО,	нар					
ЯКW	союз					
В	пред					
ДОМD	сущ	u	мест	ед	м	
ЕГW	мест	м	род	ед	м	
ЯВИСR	гл/в	изъяв	аор гл	3	ед	
БЛГО&ДАТЬ#	сущ	i	им	ед	ж	
БЖIR#,	прил	ja	им	ед	ж	
И	союз					
СКОРW	нар					
ПРИВЕДЕ	гл	изъяв	аор пр	3	ед	
ЖЕ&НD	сущ	a	вин	ед	ж	
СВОЮ	мест	м	вин	ед	ж	
В	пред					
МН(с)ТРЬ.	сущ	jo	вин	ед	м	
ОНА	мест	тв	им	ед	ж	
ЖЕ	част					
ПРИЛО&ЖИСR	гл/в	изъяв	аор гл	3	ед	
U	пред					
ГРОБА	сущ	o	род	ед	м	
СТАГW#,	прил	тв	род	ед	м	
И	союз					
МОЛRСR	прич/в	jo	наст	им	ед	м
СО&	пред					
СЛЕЗАМИ	сущ	a	тв	мн	ж	
W	пред					
СОГР+ШЕНIИ	сущ	jo	мест	ед	ср	
СВОЕМЪ,	мест	м	мест	ед	ср	
И&	союз					
АБIЕ	нар					
БЫСТЬ	гл	изъяв	аор гл	3	ед	
ЗДРАВА,	прил	a	им	ед	ж	
ЯКО	союз					
НИЧТО&ЖЕ	мест	м	вин	ед	ср	
ПОСТРАДА	гл	изъяв	аор гл	3	ед	
НИКОГДАЖЕ.	нар					
И	союз					
МОЛЕ&БНАR	прил	тв	вин	мн	ср	
П+НIR	сущ	jo	вин	мн	ср	
СОТВОРИВШЕ,	прич	en	прош	им	ед/мн	м
И	союз					
ТАКО&ВЫR	мест	тв	вин	мн	ж	
БЫВШЫR	прич	м	прош	вин	мн	ж
НА	пред					
НЕИ	мест	м	мест	ед	ж	
БОЛ+ЗНИ	сущ	i	вин	мн	ж	
ИСПО&В+ДА	гл	изъяв	аор гл	3	ед	
ТD	нар					
СDЩЕИ	прич	м	наст	дат	ед	ж
БРАТIИ.	сущ	ja	дат	ед	ж	
И	союз					
W(Т)ИДЕ&	гл	изъяв	аор пр	3	ед	
С	пред					
МDЖЕМЪ	сущ	jo	тв	ед	м	
СВОИМЪ	мест	м	тв	ед	м	
В	пред					
ДОМЪ	сущ	u	вин	ед	м	
СВОИ	мест	м	вин	ед	м	
РА&ДDRСR,	прич/в	jo	наст	им	ед	ж/м
И	союз					
БЛГОДАРR#	прич	jo	наст	им	ед	ж/м
БГА#,	сущ	o	вин/род	ед	м	
И	союз					
ХВАЛD	сущ	a	вин	ед	ж	
ВЕ&ЛIЮ	прил	ja	вин	ед	ж	
ВОЗДАR	прич	jo	наст	им	ед	ж/м
СТОМD#,	прил	тв	дат	ед	м	
ЯКW	союз					
ПРОСЛА&ВИ	гл	изъяв	аор гл	3	ед	
ЕГW	мест	м	вин/род	ед	м	
БГЪ#:	сущ	o	им	ед	м	
И	союз					
ПОКЛАНRЮЩЫМСR&	прич/в	м	наст	дат	мн	м
В+РОЮ	сущ	a	тв	ед	ж	
МОЩЕМЪ	сущ	i	дат	pt	ж	
ЕГW,	мест	м	род	ед	м	
МИЛОСТИВНО	нар					
Z 86						
ПРОШЕНIЕ	сущ	jo	вин	ед	ср	
ИСПОЛНRЕТЪ,	гл	изъяв	н/б	3	ед	3
НЕБРЕГDЩЫХЪ&	прич	м	наст	вин/род	мн	м
ЖЕ	част					
НАКАЗDЕТЪ;	гл	изъяв	н/б	3	ед	3
ЧЮДW,	сущ	es	им	ед	ср	
Д# Е.&	числ/п	тв	им	ед	ср	
ПРП(Д)БНАГW	прил	тв	род	ед	м	
