МОНАСТЫ&РЬ. 	сущ	jo	вин	ед	м	
ИСШЕ(Д) 	прич	jo	прош	им	ед	м
ВН+ 	пред					
МОНАСТЫРR 	сущ	jo	род	ед	м	
СТЫ# 	прил	тв	им	ед	м	
И 	союз					
БРА&ТIА 	сущ	ja	им	ед	ж	
С 	пред					
НИМЪ 	мест	м	тв	ед	м	
СР+ТОША 	гл	изъяв	аор нов	3	мн	
И. 	мест	м	вин	ед	м	
АРХIЕП(с)ПЪ 	сущ	o	им	ед	м	
ЖЕ& 	част					
СЪТВОРЬ 	прич	jo	прош	им	ед	м
МЛТВG#, 	сущ	a	вин	ед	ж	
БЛ(с)ВИ 	гл	изъяв	аор гл	3	ед	
СТГО# 	прил	тв	вин/род	ед	м	
И 	союз					
БРАТIЮ& 	сущ	ja	вин	ед	ж	
ПА(Д)ШЕ 	прич	jo/en	прош	им	мн	м
ПОКЛОНИШАСR. 	гл/в	изъяв	аор гл	3	мн	
ВНИДОША 	гл	изъяв	аор нов	3	мн	
В 	пред					
МОНА&СТЫРЬ. 	сущ	jo	вин	ед	м	
ВШЕ(Д)ШИМ 	прич	м	прош	дат	мн	м
ЖЕ 	част					
И(М) 	мест	м	дат	мн	м	
ВЪ 	пред					
ЦРКВЬ# 	сущ	uu	вин	ед	ж	
С 	пред					
ПО(ДО)БНОЮ& 	прил	тв	тв	ед	ж	
Ч(с)ТIЮ. 	сущ	i	тв	ед	ж	
И 	союз					
СЪТВОРЬША 	прич	jo/ja	прош	им	мн	м/ж
МОЛЕБНОЕ 	прил	тв	вин	ед	ср	
П+НIЕ& 	сущ	jo	вин	ед	ср	
ПРЧ(с)Т+И. 	прил	тв	дат	ед	ж	
И 	союз					
БЫВШU 	прич	jo	прош	дат	ед	ср
ОБЫЧНОМD 	прил	тв	дат	ед	ср	
БЛ(с)ВЕНIЮ& 	сущ	jo	дат	ед	ср	
И 	союз					
БЕС+Д+. 	сущ	a	дат	ед	ж	
ДАСТЬ, 	гл	изъяв	аор гл	3	ед	
АРХIЕП(с)ПЪ 	сущ	o	им	ед	м	
МЛ(с)ТЫ&НЮ 	сущ	ja	вин	ед	ж	
ДОВОЛНU 	прил	a	вин	ед	ж	
В 	пред					
МОНАСТЫРЬ. 	сущ	jo	вин	ед	м	
И 	союз					
UЧРЕ(ДИ) 	гл	изъяв	аор гл	3	ед	
ВЕ(л)&МИ 	нар					
СТГО# 	прил	тв	вин/род	ед	м	
И 	союз					
БРА(т)Ю. 	сущ	ja	вин	ед	ж	+и
НАUТРIА 	нар					
ЖЕ 	част					
ПРИЗВА 	гл	изъяв	аор гл	3	ед	
Z 46 						
АРХIЕП(с)ПЪ 	сущ	o	им	ед	м	
СТГО# 	прил	тв	вин/род	ед	м	
И 	союз					
БРАТIЮ, 	сущ	ja	вин	ед	ж	
И 	союз					
ПРIИМЪ& 	прич	jo	прош	им	ед	м
СЛОВО 	сущ	es	вин	ед	ср	
ЕЖЕ 	мест	м	вин	ед	ср	
ВЪ 	пред					
АП(с)Л+ХЪ 	сущ	o	мест	мн	м	
ВЪПIЕТЬ, 	гл	изъяв	н/б	3	ед	3
РЕ(ч) 	гл	изъяв	аор пр	3	ед	
И(М).& 	мест	м	дат	мн	м	
БРА(т)Е 	сущ	ja	зв	ед	ж	+и
ПОВИНUИТЕСR 	гл/в	повел	2	мн	3	
НАСТАВНИКW(М)& 	сущ	o	дат	мн	м	
И 	союз					
ПОКАРRИТЕ(с) 	гл/в	повел	2	мн	3	
ТИ(И) 	мест	тв	им	мн	м	
БО 	союз					
БДR(т) 	гл	изъяв	н/б	3	мн	4
О 	пред					
ДШАХЪ#& 	сущ	ja	мест	мн	ж	
ВАШИ(Х). 	мест	м	мест	мн	ж	
ЯКW 	союз					
СЛОВО 	сущ	es	вин	ед	ср	
ВЪЗ(Д)АТИ 	инф					
ХОТRЩЕ& 	прич	jo/en	наст	им	мн	м
О 	пред					
ВАШЕМЪ 	мест	м	мест	ед	ср	
ПРАВЛЕНIИ. 	сущ	jo	мест	ед	ср	
ЧАДА 	сущ	o	зв	мн	ср	
ДХОВНАА#& 	прил	тв	зв/им	мн	ср	
БGДИТЕ 	гл	повел	2	мн	5	
ПОСЛDШЛИВИ 	прил	o	им	мн	м	
ПО 	пред					
ГНЮ# 	прил	jo	дат	ед	ср	
СЛОВU& 	сущ	es/o	дат	ед	ср	
РЕ(ч)ННОМU 	прич	тв	прош	дат	ед	ср
КЪ 	пред					
АП(с)ЛОМЪ. 	сущ	o	дат	мн	м	
СЛDШАА 	прич	jo	наст	им	ед	м
ВА(с) 	мест	личн	2	вин/род	мн	
МЕ&НЕ 	мест	личн	1	вин/род	ед	
СЛDШАЕ(т). 	гл	изъяв	н/б	3	ед	3
А 	союз					
W(Т)М+ТАЯСR 	прич/в	jo	наст	им	ед	м
ВА(с) 	мест	личн	2	род	мн	
МЕНЕ 	мест	личн	1	род	ед	
(с)& 	мест	личн	возвр	вин		
W(Т)М+ТАЕ(т). 	гл	изъяв	н/б	3	ед	3
НЕ 	част					
СЛDШАЮЩЕИ 	прич	м	наст	им	мн	м
БО 	союз					
НАКА(ЗА)ВА&ЮЩА(г) 	прич	м	наст	вин/род	ед	м
И 	союз					
DЧАЩА(г), 	прич	м	наст	вин/род	ед	м
ДОБР+ 	нар					
ТОИ 	мест	тв	им	ед	м	
ПОГЫБЛЪ 	гл	изъяв	перф	м	ед	пр
Е(с).& 	гл	изъяв	перф	3	ед	св
А 	союз					
СЛDШААИ 	прич	м	наст	им	мн/ед	м
ПРIИМU(т) 	гл	изъяв	н/б	3	мн	5
БЛГАА#. 	прил	тв	вин	мн	ср	
ПОМЫСЛI&ТЕ 	гл	повел	2	мн	4	
ЧАДА 	сущ	o	зв	мн	ср	
КОЛИКА 	мест	тв	им	ед	ж	
СЛАВА 	сущ	a	им	ед	ж	
ТОГ(Д)А 	нар					
РЕЧЕ(т) 	гл	изъяв	н/б	3	ед	1
СD(Д)И.& 	сущ	ja	им	ед	м	+и
СЕ 	мест	м	вин	ед	ср	
СЛОВО 	сущ	es	вин	ед	ср	
МОЕ 	мест	м	вин	ед	ср	
СЪБЛЮЛЪ 	гл	изъяв	перф	м	ед	пр
ЕСТЬ 	гл	изъяв	перф	3	ед	св
И 	союз					
В+РU& 	сущ	a	вин	ед	ж	
МОЮ 	мест	м	вин	ед	ж	
ПРОПОВ+ДА. 	гл	изъяв	аор гл	3	ед	
Т+МЖЕ 	союз					
ЧАДА 	сущ	o	зв	мн	ср	
ВЪЗЛЮ&БИТЕ 	гл	повел	2	мн	4	
СЛВU# 	сущ	a	вин	ед	ж	
*ХВU#, 	прил	a	вин	ед	ж	
И 	союз					
СЛАВG 	сущ	a	вин	ед	ж	
МИМОТЕКD&ЩUЮ 	прич	м	наст	вин	ед	ж
ЯКО 	союз					
С+НЬ 	сущ	i	вин	ед	ж	
W(Т)ВРЪЗЕМЪ. 	гл	повел	1	мн	1	
ПРР(о)КЪ 	сущ	o	им	ед	м	
БО& 	союз					
ГЛЕТЬ# 	гл	изъяв	н/б	3	ед	3
МИРА 	сущ	o	род	ед	м	
СЕГО 	мест	м	род	ед	м	
СЛАВU 	сущ	a	вин	ед	ж	
СОНЪ 	сущ	o	вин	ед	м	
НАРИЦАЕ(т).& 	гл	изъяв	н/б	3	ед	3
И 	союз					
ЗРИ(М) 	гл	изъяв	н/б	1	мн	4
ИЖЕ 	мест	м	им	ед	м	
ВЧЕРА 	нар					
З(Д)РАВЪ, 	прил	o	им	ед	м	
ТОИ 	мест	тв	им	ед	м	
ДНЕ(с) 	нар					
В 	пред					
НЕ&ДDЗ+ 	сущ	o	мест	ед	м	*
ЛЮТ+. 	прил	o	мест	ед	м	
ИЖЕ 	мест	м	им	ед	м	
ВЧЕРА 	нар					
ВЛАСТЕЛИ(Н), 	сущ	o	им	ед	м	
Z -46 						
ТОИ 	мест	тв	им	ед	м	
ДНЕ(с) 	нар					
UНИЧИЖЕ(Н). 	прич	o	прош	им	ед	м
И 	союз					
ИЖЕ 	мест	м	им	ед	м	
ВНЕЗАПD& 	нар					
ПРИД+ 	гл	изъяв	аор пр	3	ед	
ИЖЕ 	мест	м	им	ед	м	
НЕЧАЕ(М) 	прич	o	наст	им	ед	м
И 	союз					
ПОХИТИ 	гл	изъяв	аор гл	3	ед	
СМРТЬ#.& 	сущ	i	вин	ед	ж	
КАКО 	нар					
БW 	союз					
НЕ 	част					
С+НЬ 	сущ	i	им	ед	ж	
ЖИТIЕ 	сущ	jo	им	ед	ср	
СЕ, 	мест	м	им	ед	ср	
ВЪИСТИ&НU 	нар					
СDЕТА 	сущ	a	им	ед	ж	
И 	союз					
ВСЕ 	мест	р/скл	им	ед	ср	
МИМОХОДИ(т). 	гл	изъяв	н/б	3	ед	4
