ГЛА# 	гл	изъяв	аор гл	3	ед	
ЕМU 	мест	м	дат	ед	м	
*ДIОНИСIЕ, 	сущ	jo	им	ед	м	
ЧАДО 	сущ	o	зв	ед	ср	
*МАТF+Ю.& 	сущ	jo	зв	ед	м	
ГЛЮЩU# 	прич	jo	наст	дат	ед	м
*ХG# 	сущ	o	дат	ед	м	
ВЪ 	пред					
ЕV(г)ЛIИ 	сущ	jo	мест	ед	ср	
ИЖЕ 	мест	м	им	ед	м	
ЛЮБИ(т) 	гл	изъяв	н/б	3	ед	4
ОЦА# 	сущ	jo	вин/род	ед	м	
ИЛИ 	союз					
МТР#& 	сущ	er	вин	ед	ж	
ПА(ч) 	нар					
МЕНЕ 	мест	личн	1	род	ед	
Н+(с) 	гл	изъяв	н/б	3	ед	5
МЕНЕ 	мест	личн	1	род	ед	
ДОСТОИНЪ. 	прил	o	им	ед	м	
И 	союз					
ИЖЕ 	мест	м	им	ед	м	
НЕ 	част					
ПРIИ&МЕ(т) 	гл	изъяв	н/б	3	ед	1
КР(с)ТА 	сущ	o	род	ед	м	
СВОЕГО, 	мест	м	род	ед	м	
И 	союз					
ВЪСЛ+ДЪ 	нар					
МЕНЕ 	мест	личн	1	род	ед	
НЕ 	част					
ГРRДЕ(т)& 	гл	изъяв	н/б	3	ед	1
Н+(с) 	гл	изъяв	н/б	3	ед	5
МЕНЕ 	мест	личн	1	род	ед	
ДОСТОИНЪ. 	прил	o	им	ед	м	
НЕ 	част					
ПРIИДО(Х) 	гл	изъяв	аор нов	1	ед	
РЕ(ч) 	гл	изъяв	аор пр	3	ед	
МИРЪ& 	сущ	o	вин	ед	м	
ВЛОЖИТИ 	инф					
НА 	пред					
ЗЕМЛЮ, 	сущ	ja	вин	ед	ж	
РОДИТЕЛЕМЪ 	сущ	jo	дат	мн	м	
КЪ 	пред					
СНО(М)#.& 	сущ	u	дат	мн	м	
РАБОТАТИ 	инф					
МИ 	мест	личн	1	дат	ед	
ИЗВОЛШИМЪ 	прич	м	прош	дат	мн	м
НО 	союз					
РА(т) 	сущ	i	вин	ед	ж	
И 	союз					
НОЖЬ.& 	сущ	jo	вин	ед	м	
W(Т)Р+ЗАТИ 	инф					
ЛЮБОБЛЖЕНЫА# 	прил	тв	вин	мн	м	
W(Т) 	пред					
ЛЮБОМИРЬ&СКЫ(Х) 	прил	тв	род	мн	м	
ВЕЩНЫХЪ. 	прил	тв	род	мн	м	
ИЗЫДИТЕ 	гл	повел	2	мн	1	
W(Т) 	пред					
СРЕДЫ 	сущ	a	род	ед	ж	
И(Х) 	мест	м	род	мн	м	
И& 	союз					
W(Т)ЛDЧИТЕСR. 	гл/в	повел	2	мн	4	
И 	союз					
НЕЧIСТ+ 	прил	a	дат	ед	ж	
МИР+ 	сущ	o	мест	ед	м	
НЕ 	част					
ПРИКА&САИТЕСR 	гл/в	повел	2	мн	3	
ГЛЕТЬ# 	гл	изъяв	н/б	3	ед	3
ГЬ#. 	сущ	i	им	ед	м	
БЛГЫИ# 	прил	тв	им	ед	м	
НШЬ# 	мест	м	им	ед	м	
UЧТЛЬ#& 	сущ	jo	им	ед	м	
ГЬ# 	сущ	i	им	ед	м	
МНОГАЖ(Д)Ы 	нар					
ПО 	пред					
ПЛОТИ 	сущ	i	дат	ед	ж	
РО(ДИ)ТЕЛЬ 	сущ	jo	род	мн	м	
ОСТАВИ.& 	гл	изъяв	аор гл	3	ед	
И 	союз					
Н+ 	част					
W(Т) 	пред					
КОИ(Х) 	мест	м	род	мн	м	
СЛЫШАВЪ 	прич	jo	прош	им	ед	м
СЕ 	част					
МТИ# 	сущ	er	им	ед	ж	
ТВОА 	мест	м	им	ед	ж	
И 	союз					
БРА(Т)А& 	сущ	ja	им	ед	ж	+и
ТВОА 	мест	м	им	ед	ж	
ИЩG(т) 	гл	изъяв	н/б	3	мн	3
ТЕБЕ; 	мест	личн	2	вин/род	ед	
ВЪСКОР+ 	нар					
ДОБРЫИ 	прил	тв	им	ед	м	
НШЬ#,& 	мест	м	им	ед	м	
ГЬ# 	сущ	i	им	ед	м	
